label,statement,length,sensationalism
half-true,declin coal start start natur gas took start begin presid georg w bush administr,80,0.0
mostly-true,hillari clinton agr john mccain vote give georg bush benefit doubt iran,72,0.0
false,health care reform legisl like mandat free sex chang surgeri,60,0.0
half-true,econom turnaround start end term,32,0.0
true,chicago bear start quarterback last year total number tenur uw faculti fire last two decad,90,0.023431213389237593
barely-true,jim dunnam live district repr year,36,0.0
half-true,person stage work activ last year pass along russ feingold toughest ethic reform sinc waterg,92,0.0
half-true,howev took million oregon lotteri fund port newport eventu land new noaa marin oper center pacif,96,0.0
mostly-true,say gop primari oppon glenn grothman joe leibham cast compromi vote cost million higher electr cost,100,0.0
mostly-true,first time histori share nation popular vote margin smaller latino vote margin,78,0.007352802931812064
half-true,sinc near million american slip middl class poverti,51,0.0
false,mitt romney governor massachusett didnt slow rate growth govern actual cut,74,0.0
mostly-true,economi bled billion due govern shutdown,40,0.0
barely-true,afford care act alreadi sen waiv otherwi suspend,50,0.0
half-true,last elect novemb percent american peopl chose vote percent young peopl percent low incom worker chose vote,107,0.0
true,mccain oppo requir govern buy american made motorcycl said buy american provi quot disgrac,92,0.0
barely-true,u rep ron kind wis fellow democrat went spend spree credit card max,67,0.0
half-true,water rate manila philippin rai percent subsidiari world bank becam partial owner,82,0.0
mostly-true,almost peopl left puerto rico last year,39,0.0
false,women men make less adjust inflat john kitzhab first elect governor,67,0.009122919160573062
mostly-true,unit state highest corpor tax rate free world,45,0.00565378468109301
mostly-true,best year auto industri america histori,39,0.0
half-true,say scott walker favor cut famili children health care,54,0.0
barely-true,say mitt romney want get rid plan parenthood,44,0.0
false,dont know jonathan gruber,25,0.0
mostly-true,hate crime american muslim mosqu tripl pari san bernardino,58,0.011586207341127808
half-true,rick perri never lost elect remain person texa governorship three time landslid elect,85,0.0
false,isi support tweet shoot began chattanooga tenn,46,0.007942399680281542
mostly-true,youth unemploy minor communiti percent,38,0.0
true,say paul ryan still endor trump,32,0.0
barely-true,look state right work constant budget deficit good busi climat,62,0.004282041822166183
false,obama administr go come next sever month even go abl burn coal limit exist plant,85,0.0
mostly-true,cut busi tax today percent busi dont pay busi tax,49,0.0
mostly-true,say mark pryor vote obama percent time,38,0.0
true,feder govern think author regul toilet seat,43,0.0
true,austin citi basic doubl size everi year sinc found,50,0.0
true,nuclear test conduct nation time earth th nuclear test five perman member u n secur council conduct percent total nuclear test,126,0.05071114851483449
pants-fire,case catastroph event atlanta area offic center disea control prevent self destruct,84,0.0
true,presid georg w bush ad trillion debt presid obama weve ad trillion debt,71,0.0
false,say u suprem court justic suggest u case decid base south african law,69,0.007734281052374836
half-true,say marco rubio skip defen vote includ one arm kurd fight isi,62,0.0
pants-fire,rep david cicillin respon feder loan guarant solyndra fail solar compani,74,0.0
pants-fire,say ohio budget item later sign law gov john kasich requir women seek abort undergo mandatori vagin probe,105,0.005542109516587179
false,director homeland secur use use term terrorist attack instead substitut man made disast,87,0.04613654191577832
half-true,african american youth unemploy percent hispan youth unemploy percent,69,0.0
pants-fire,obamacar provid insur non u resid even illeg,44,0.0
false,presid barack obama took exact none deficit reduct commiss idea one,67,0.0
pants-fire,barack obama hillari clinton chang rule engag probabl cost capt humayun khan life,81,0.0
true,hillari clinton co sponsor legisl would jail flag burner,56,0.0
barely-true,say paperback edit mitt romney book delet line massachusett individu mandat model countri,89,0.0
barely-true,maggi hassan rai tuition make highest america,46,0.0
false,say terri mcauliff person invent scheme rent lincoln bedroom,60,0.0
true,creat new job cut unemploy rate almost half today new york state privat sector job ever histori,95,0.003563545149378844
barely-true,town west texa water truck water,32,0.0
half-true,georgia women earn cent everi dollar earn men,45,0.0
half-true,feder system verifi employ author work u inaccur anywh percent way excess percent time,89,0.010413251103613241
barely-true,go build wall ago long ago like couldnt get environ impact statement,72,0.0
false,sen obama campaign announc choo cabinet,40,0.0
mostly-true,percent latino texa regist vote percent actual turn,51,0.0
false,percent public high school countri offer pe class,49,0.0
mostly-true,said republican candid actual turn around govern economi,56,0.0
true,militari recruit harvard elena kagan took posit suprem court rule unanim wrong,78,0.0
mostly-true,public school teacher texa non teacher public school,52,0.0
false,mayor cicillin provid sanctuari citi,36,0.0
pants-fire,transgend individu u chanc murder,33,0.0
true,bain capit help start ear childhood learn compani call bright horizon first ladi michel obama right prai,108,0.0062454688791185875
false,say man rush stage dayton ohio chatter isi isi social media post,64,0.0
barely-true,u rep phil gingrey gave govern power electron spi american without warrant,74,0.0
barely-true,alex sink funnel three quarter million dollar bid contract bank america,71,0.0
