label,statement,length,Controversial
half-true,declin coal start start natur gas took start begin presid georg w bush administr,141,0.0
mostly-true,hillari clinton agr john mccain vote give georg bush benefit doubt iran,105,0.0
false,health care reform legisl like mandat free sex chang surgeri,78,0.0
half-true,econom turnaround start end term,54,0.0
true,chicago bear start quarterback last year total number tenur uw faculti fire last two decad,155,0.0
barely-true,jim dunnam live district repr year,69,0.0
half-true,person stage work activ last year pass along russ feingold toughest ethic reform sinc waterg,159,0.0
half-true,howev took million oregon lotteri fund port newport eventu land new noaa marin oper center pacif,144,0.0
mostly-true,say gop primari oppon glenn grothman joe leibham cast compromi vote cost million higher electr cost,132,0.0
mostly-true,first time histori share nation popular vote margin smaller latino vote margin,116,0.0
half-true,sinc near million american slip middl class poverti,94,0.0
false,mitt romney governor massachusett didnt slow rate growth govern actual cut,124,0.0
mostly-true,economi bled billion due govern shutdown,60,0.0
barely-true,afford care act alreadi sen waiv otherwi suspend,95,0.0
half-true,last elect novemb percent american peopl chose vote percent young peopl percent low incom worker chose vote,181,0.0
true,mccain oppo requir govern buy american made motorcycl said buy american provi quot disgrac,146,0.0
barely-true,u rep ron kind wis fellow democrat went spend spree credit card max,116,0.0
half-true,water rate manila philippin rai percent subsidiari world bank becam partial owner,125,0.0
mostly-true,almost peopl left puerto rico last year,49,0.0
false,women men make less adjust inflat john kitzhab first elect governor,117,0.0
mostly-true,unit state highest corpor tax rate free world,71,0.0
mostly-true,best year auto industri america histori,70,0.0
half-true,say scott walker favor cut famili children health care,85,0.0
barely-true,say mitt romney want get rid plan parenthood,56,0.0
false,dont know jonathan gruber,37,0.0
mostly-true,hate crime american muslim mosqu tripl pari san bernardino,93,0.0
half-true,rick perri never lost elect remain person texa governorship three time landslid elect,136,0.0
false,isi support tweet shoot began chattanooga tenn,87,0.0
mostly-true,youth unemploy minor communiti percent,69,0.0
true,say paul ryan still endor trump,40,0.0
barely-true,look state right work constant budget deficit good busi climat,132,0.0
false,obama administr go come next sever month even go abl burn coal limit exist plant,171,0.0
mostly-true,cut busi tax today percent busi dont pay busi tax,84,0.0
mostly-true,say mark pryor vote obama percent time,56,0.0
true,feder govern think author regul toilet seat,94,0.0
true,austin citi basic doubl size everi year sinc found,94,0.0
true,nuclear test conduct nation time earth th nuclear test five perman member u n secur council conduct percent total nuclear test,200,0.0
pants-fire,case catastroph event atlanta area offic center disea control prevent self destruct,131,0.0
true,presid georg w bush ad trillion debt presid obama weve ad trillion debt,127,0.0
false,say u suprem court justic suggest u case decid base south african law,108,0.0
half-true,say marco rubio skip defen vote includ one arm kurd fight isi,87,0.0
pants-fire,rep david cicillin respon feder loan guarant solyndra fail solar compani,104,0.0
pants-fire,say ohio budget item later sign law gov john kasich requir women seek abort undergo mandatori vagin probe,136,0.0
false,director homeland secur use use term terrorist attack instead substitut man made disast,145,0.023358503316964763
half-true,african american youth unemploy percent hispan youth unemploy percent,93,0.0
pants-fire,obamacar provid insur non u resid even illeg,92,0.0
false,presid barack obama took exact none deficit reduct commiss idea one,97,0.0
pants-fire,barack obama hillari clinton chang rule engag probabl cost capt humayun khan life,129,0.0
true,hillari clinton co sponsor legisl would jail flag burner,78,0.039368621866301745
barely-true,say paperback edit mitt romney book delet line massachusett individu mandat model countri,134,0.0
barely-true,maggi hassan rai tuition make highest america,63,0.0
false,say terri mcauliff person invent scheme rent lincoln bedroom,91,0.0
true,creat new job cut unemploy rate almost half today new york state privat sector job ever histori,162,0.0
